contour_id,point_id,u,v
253,0,0.280023,-0.305591
253,1,0.283271,-0.302482
254,0,0.269807,-0.31455
254,1,0.280023,-0.305591
255,0,0.266427,-0.317515
255,1,0.269807,-0.31455
256,0,0.25583,-0.32602
256,1,0.266427,-0.317515
257,0,0.252323,-0.328834
257,1,0.25583,-0.32602
258,0,0.241365,-0.336869
258,1,0.252323,-0.328834
259,0,0.23774,-0.339527
259,1,0.241365,-0.336869
260,0,0.226442,-0.347076
260,1,0.23774,-0.339527
261,0,0.222703,-0.349574
261,1,0.226442,-0.347076
262,0,0.211087,-0.356623
262,1,0.222703,-0.349574
263,0,0.207243,-0.358956
263,1,0.211087,-0.356623
264,0,0.19533,-0.365491
264,1,0.207243,-0.358956
265,0,0.191388,-0.367654
265,1,0.19533,-0.365491
266,0,0.179202,-0.373664
266,1,0.191388,-0.367654
267,0,0.175169,-0.375652
267,1,0.179202,-0.373664
268,0,0.162732,-0.381125
268,1,0.175169,-0.375652
269,0,0.158617,-0.382935
269,1,0.162732,-0.381125
270,0,0.145953,-0.38786
270,1,0.158617,-0.382935
271,0,0.141763,-0.38949
271,1,0.145953,-0.38786
272,0,0.128896,-0.393857
272,1,0.141763,-0.38949
273,0,0.124638,-0.395303
273,1,0.128896,-0.393857
274,0,0.111593,-0.399105
274,1,0.124638,-0.395303
275,0,0.107277,-0.400363
275,1,0.111593,-0.399105
276,0,0.0940785,-0.403593
276,1,0.107277,-0.400363
277,0,0.0897113,-0.404661
277,1,0.0940785,-0.403593
278,0,0.0763845,-0.407312
278,1,0.0897113,-0.404661
279,0,0.0719748,-0.408189
279,1,0.0763845,-0.407312
280,0,0.0585451,-0.410256
280,1,0.0719748,-0.408189
281,0,0.0541013,-0.41094
281,1,0.0585451,-0.410256
282,0,0.0405942,-0.41242
282,1,0.0541013,-0.41094
283,0,0.0361249,-0.412909
283,1,0.0405942,-0.41242
284,0,0.0225661,-0.413798
284,1,0.0361249,-0.412909
285,0,0.0180796,-0.414092
285,1,0.0225661,-0.413798
286,0,0.00449501,-0.414388
286,1,0.0180796,-0.414092
287,0,5.74229e-18,-0.414486
287,1,0.00449501,-0.414388
